,Age Group,Sex,Year,Population_2018,Population_2022,Population_Difference,Percentage_Difference
1147,65-69,male,2036,1753190.0,1714166.0,-39024.0,-2.225885386067682
1148,70-74,male,2036,1628029.0,1573290.0,-54739.0,-3.362286544035763
1149,75-79,male,2036,1274154.0,1226339.0,-47815.0,-3.7526860960292083
1150,80-84,male,2036,903410.0,853716.0,-49694.0,-5.500713961545698
1151,85-89,male,2036,632951.0,603800.0,-29151.0,-4.605569783442951
1152,90-94,male,2036,254493.0,239738.0,-14755.0,-5.797801904178111
1153,95-99,male,2036,55879.0,48065.0,-7814.0,-13.983786395604788
1154,100&over,male,2036,6193.0,4381.0,-1812.0,-29.258840626513805
1155,0-4,female,2036,1552643.0,1465762.0,-86881.0,-5.595684262254749
1156,5-9,female,2036,1561019.0,1485279.0,-75740.0,-4.851958880705488
1157,10-14,female,2036,1591194.0,1510343.0,-80851.0,-5.081152895247216
1158,15-19,female,2036,1677474.0,1661257.0,-16217.0,-0.9667511985282633
1159,20-24,female,2036,1879606.0,1928544.0,48938.0,2.6036307609147875
1160,25-29,female,2036,1896300.0,2061585.0,165285.0,8.716184148077835
1161,30-34,female,2036,1720174.0,2102071.0,381897.0,22.201068031489836
1162,35-39,female,2036,1759943.0,2192564.0,432621.0,24.58153474288656
1163,40-44,female,2036,1872381.0,2230903.0,358522.0,19.14791914679758
1164,45-49,female,2036,1944262.0,2215918.0,271656.0,13.972190990720387
1165,50-54,female,2036,1903458.0,2025502.0,122044.0,6.411699128638509
1166,55-59,female,2036,1786015.0,1830254.0,44239.0,2.476966878777614
1167,60-64,female,2036,1750789.0,1744643.0,-6146.0,-0.3510417303284405
1168,65-69,female,2036,1871335.0,1848798.0,-22537.0,-1.2043273919421162
1169,70-74,female,2036,1782192.0,1743820.0,-38372.0,-2.1530789050786896
1170,75-79,female,2036,1436552.0,1399242.0,-37310.0,-2.5971910519076236
1171,80-84,female,2036,1084040.0,1056017.0,-28023.0,-2.5850522120954946
1172,85-89,female,2036,837540.0,834840.0,-2700.0,-0.3223726627981947
1173,90-94,female,2036,382135.0,389484.0,7349.0,1.923142344982794
1174,95-99,female,2036,101500.0,100761.0,-739.0,-0.7280788177339901
1175,100&over,female,2036,13994.0,12557.0,-1437.0,-10.268686579962841
