,Age Group,Sex,Year,Population_2018,Population_2022,Population_Difference,Percentage_Difference
1219,5-9,female,2037,1564665.0,1487024.0,-77641.0,-4.962148447111682
1220,10-14,female,2037,1589715.0,1498971.0,-90744.0,-5.70819297798662
1221,15-19,female,2037,1655871.0,1643121.0,-12750.0,-0.7699875171435456
1222,20-24,female,2037,1857832.0,1909558.0,51726.0,2.7842129966541647
1223,25-29,female,2037,1930042.0,2081014.0,150972.0,7.822213195360515
1224,30-34,female,2037,1763140.0,2112652.0,349512.0,19.82326984811189
1225,35-39,female,2037,1725475.0,2176692.0,451217.0,26.150306437357827
1226,40-44,female,2037,1848657.0,2232147.0,383490.0,20.74424839221121
1227,45-49,female,2037,1949419.0,2237150.0,287731.0,14.75983357092549
1228,50-54,female,2037,1909271.0,2061061.0,151790.0,7.950154797302217
1229,55-59,female,2037,1831412.0,1880859.0,49447.0,2.699938626589757
1230,60-64,female,2037,1705944.0,1703823.0,-2121.0,-0.12432998973002632
1231,65-69,female,2037,1857399.0,1833965.0,-23434.0,-1.2616567576487336
1232,70-74,female,2037,1800166.0,1761007.0,-39159.0,-2.1752993890563426
1233,75-79,female,2037,1483079.0,1446734.0,-36345.0,-2.4506449083292257
1234,80-84,female,2037,1107081.0,1077507.0,-29574.0,-2.6713492508678227
1235,85-89,female,2037,807879.0,802669.0,-5210.0,-0.6448985553529675
1236,90-94,female,2037,425375.0,436481.0,11106.0,2.610872759330003
1237,95-99,female,2037,104448.0,104356.0,-92.0,-0.08808210784313726
1238,100&over,female,2037,14574.0,13309.0,-1265.0,-8.679840812405654
1239,0-4,persons,2037,3206816.0,3015336.0,-191480.0,-5.971031702473731
1240,5-9,persons,2037,3204987.0,3053111.0,-151876.0,-4.738739969928115
1241,10-14,persons,2037,3258456.0,3078927.0,-179529.0,-5.509634010709367
1242,15-19,persons,2037,3403556.0,3375377.0,-28179.0,-0.8279282021509269
1243,20-24,persons,2037,3832667.0,3923987.0,91320.0,2.3826750406440214
1244,25-29,persons,2037,3971156.0,4266896.0,295740.0,7.447201771977731
1245,30-34,persons,2037,3621687.0,4334262.0,712575.0,19.675223176381614
1246,35-39,persons,2037,3525028.0,4382009.0,856981.0,24.311324619265438
1247,40-44,persons,2037,3751294.0,4404789.0,653495.0,17.42052209184351
1248,45-49,persons,2037,3894701.0,4346359.0,451658.0,11.596731045592461
1249,50-54,persons,2037,3760823.0,3983412.0,222589.0,5.918624726555863
1250,55-59,persons,2037,3604003.0,3653926.0,49923.0,1.3852097237432932
1251,60-64,persons,2037,3345706.0,3319880.0,-25826.0,-0.7719148066207849
1252,65-69,persons,2037,3598742.0,3532921.0,-65821.0,-1.829000245085644
1253,70-74,persons,2037,3445858.0,3349110.0,-96748.0,-2.8076606755124556
1254,75-79,persons,2037,2799112.0,2712437.0,-86675.0,-3.0965177527730225
1255,80-84,persons,2037,2032442.0,1951526.0,-80916.0,-3.9812206203178246
1256,85-89,persons,2037,1418935.0,1381152.0,-37783.0,-2.662771726682336
1257,90-94,persons,2037,712044.0,708478.0,-3566.0,-0.5008117475886322
1258,95-99,persons,2037,162530.0,154382.0,-8148.0,-5.013228327078078
1259,100&over,persons,2037,21138.0,17997.0,-3141.0,-14.859494748793642
1260,0-4,male,2038,1656324.0,1550483.0,-105841.0,-6.390114494507114
1261,5-9,male,2038,1646107.0,1567972.0,-78135.0,-4.74665377159565
1262,10-14,male,2038,1668389.0,1583680.0,-84709.0,-5.0772931252843305
1263,15-19,male,2038,1732279.0,1705794.0,-26485.0,-1.5289107586018187
1264,20-24,male,2038,1952529.0,1996003.0,43474.0,2.226548235647204
1265,25-29,male,2038,2053748.9999999998,2184218.0,130469.00000000023,6.352723726219721
1266,30-34,male,2038,1910251.0,2244105.0,333854.0,17.476970303902473
1267,35-39,male,2038,1779324.0,2216065.0,436741.0,24.545332946669635
1268,40-44,male,2038,1889575.0,2190563.0,300988.0,15.928872894698543
1269,45-49,male,2038,1943622.0,2122769.0,179147.0,9.217172886497478
1270,50-54,male,2038,1867408.0,1959186.0,91778.0,4.914726722815796
1271,55-59,male,2038,1804319.0,1809159.0,4840.0,0.2682452493156698
1272,60-64,male,2038,1617494.0,1594612.0,-22882.0,-1.4146574886831111
1273,65-69,male,2038,1722133.0,1676241.0,-45892.0,-2.6648348298302165
1274,70-74,male,2038,1651408.0,1593255.0,-58153.0,-3.521419297956653
1275,75-79,male,2038,1354653.0,1300929.0,-53724.0,-3.965886466866422
1276,80-84,male,2038,950610.0,898673.0,-51937.0,-5.463544460925091
1277,85-89,male,2038,605010.0,568740.0,-36270.0,-5.994942232359795
1278,90-94,male,2038,303431.0,288474.0,-14957.0,-4.929291997192113
1279,95-99,male,2038,62376.0,53966.0,-8410.0,-13.4827497755547
1280,100&over,male,2038,6956.0,4983.0,-1973.0,-28.364002300172515
1281,0-4,female,2038,1578787.0,1474206.0,-104581.0,-6.624136124759071
1282,5-9,female,2038,1570165.0,1488811.0,-81354.0,-5.18123891438161
1283,10-14,female,2038,1589341.0,1502865.0,-86476.0,-5.440997243511618
1284,15-19,female,2038,1642492.0,1616491.0,-26001.0,-1.583021408932281
1285,20-24,female,2038,1836654.0,1892573.0,55919.0,3.044612648871263
1286,25-29,female,2038,1941269.0,2079044.0,137775.0,7.097161701958873
1287,30-34,female,2038,1812915.0,2135865.0,322950.0,17.81385227658219
1288,35-39,female,2038,1704615.0,2166113.0,461498.0,27.073444736788073
1289,40-44,female,2038,1830421.0,2234856.0,404435.0,22.095190122928006
1290,45-49,female,2038,1934845.0,2239565.0,304720.0,15.749065170595062
1291,50-54,female,2038,1921098.0,2103915.0,182817.0,9.516276629302618
1292,55-59,female,2038,1871727.0,1928937.0,57210.0,3.056535488348461
1293,60-64,female,2038,1680621.0,1683942.0,3321.0,0.19760552795663033
1294,65-69,female,2038,1833377.0,1808349.0,-25028.0,-1.3651311214223807
1295,70-74,female,2038,1806453.0,1769041.0,-37412.0,-2.071019838324053
1296,75-79,female,2038,1527863.0,1491827.0,-36036.0,-2.358588433648828
1297,80-84,female,2038,1134878.0,1104083.0,-30795.0,-2.7135075312059973
1298,85-89,female,2038,796468.0,788330.0,-8138.0,-1.021761075146773
1299,90-94,female,2038,448459.0,462340.0,13881.0,3.0952662339255097
1300,95-99,female,2038,110658.0,111467.0,809.0,0.7310813497442571
1301,100&over,female,2038,15200.0,14056.0,-1144.0,-7.526315789473684
1302,0-4,persons,2038,3235111.0,3024689.0,-210422.0,-6.504320871834072
1303,5-9,persons,2038,3216272.0,3056783.0,-159489.0,-4.958815672306322
1304,10-14,persons,2038,3257730.0,3086545.0,-171185.0,-5.254732589870861
1305,15-19,persons,2038,3374771.0,3322285.0,-52486.0,-1.5552462670800478
1306,20-24,persons,2038,3789183.0,3888576.0,99393.0,2.623072044818105
1307,25-29,persons,2038,3995018.0,4263262.0,268244.0,6.714462863496484
1308,30-34,persons,2038,3723166.0,4379970.0,656804.0,17.641007680022863
1309,35-39,persons,2038,3483939.0,4382178.0,898239.0,25.7822826404251
1310,40-44,persons,2038,3719996.0,4425419.0,705423.0,18.963004261294905
1311,45-49,persons,2038,3878467.0,4362334.0,483867.0,12.47572816785601
1312,50-54,persons,2038,3788506.0,4063101.0,274595.0,7.2481078293131915
1313,55-59,persons,2038,3676046.0,3738096.0,62050.0,1.6879549385399422
1314,60-64,persons,2038,3298115.0,3278554.0,-19561.0,-0.5930963595872187
1315,65-69,persons,2038,3555510.0,3484590.0,-70920.0,-1.9946505564602546
1316,70-74,persons,2038,3457861.0,3362296.0,-95565.0,-2.7637027630665316
1317,75-79,persons,2038,2882516.0,2792756.0,-89760.0,-3.1139462885895517
1318,80-84,persons,2038,2085487.9999999998,2002756.0,-82731.99999999977,-3.967033135649775
1319,85-89,persons,2038,1401478.0,1357070.0,-44408.0,-3.168654805854962
1320,90-94,persons,2038,751890.0,750814.0,-1076.0,-0.14310603944725958
1321,95-99,persons,2038,173034.0,165433.0,-7601.0,-4.39277829790677
1322,100&over,persons,2038,22156.0,19039.0,-3117.0,-14.068423903231631
1323,0-4,male,2039,1672025.0,1555802.0,-116223.0,-6.951032430735187
1324,5-9,male,2039,1653752.0,1570226.0,-83526.0,-5.050696839671245
1325,10-14,male,2039,1668482.0,1588199.0,-80283.0,-4.811739053822577
1326,15-19,male,2039,1728554.0,1681247.0,-47307.0,-2.7367961891847177
1327,20-24,male,2039,1925091.0,1983479.0,58388.0,3.0329994789856687
1328,25-29,male,2039,2061783.0,2177482.0,115699.0,5.611599280816653
1329,30-34,male,2039,1950574.0,2254149.0,303575.0,15.563367501053534
1330,35-39,male,2039,1770611.0,2231037.0,460426.0,26.003791911379743
1331,40-44,male,2039,1872385.0,2206980.0,334595.0,17.869989345140024
1332,45-49,male,2039,1944821.0,2141612.0,196791.0,10.118720437510701
1333,50-54,male,2039,1884023.0,1995714.0,111691.0,5.928324654210697
1334,55-59,male,2039,1812656.0,1823949.0,11293.0,0.623008447272952
1335,60-64,male,2039,1630680.0,1608545.0,-22135.0,-1.3574091789928129
1336,65-69,male,2039,1689351.0,1641625.0,-47726.0,-2.825108577199173
1337,70-74,male,2039,1651016.0,1593190.0,-57826.0,-3.502449400853777
1338,75-79,male,2039,1394813.0,1335756.0,-59057.0,-4.234044276903068
1339,80-84,male,2039,978284.0,926060.0,-52224.0,-5.338327111554518
1340,85-89,male,2039,606576.0,567646.0,-38930.0,-6.417992139484582
1341,90-94,male,2039,310968.0,294829.0,-16139.0,-5.189923078902009
1342,95-99,male,2039,67729.0,59066.0,-8663.0,-12.790680506134745
1343,100&over,male,2039,7296.0,5214.0,-2082.0,-28.536184210526315
1344,0-4,female,2039,1593738.0,1479264.0,-114474.0,-7.182736434721392
1345,5-9,female,2039,1577440.0,1490949.0,-86491.0,-5.482997768536363
1346,10-14,female,2039,1589401.0,1507397.0,-82004.0,-5.15942798576319
1347,15-19,female,2039,1638847.0,1592826.0,-46021.0,-2.8081327909194695
1348,20-24,female,2039,1811384.0,1878926.0,67542.0,3.7287510544423488
1349,25-29,female,2039,1948042.0,2073603.0,125561.0,6.445497581674317
1350,30-34,female,2039,1851468.0,2149134.0,297666.0,16.07729650201894
1351,35-39,female,2039,1695620.0,2162652.0,467032.0,27.54343543954424
1352,40-44,female,2039,1811931.0,2232640.0,420709.0,23.218820142709628
1353,45-49,female,2039,1924004.0,2248491.0,324487.0,16.865193627456076
1354,50-54,female,2039,1930467.0,2142714.0,212247.0,10.994593536175444
1355,55-59,female,2039,1884748.0,1952189.0,67441.0,3.5782502488396326
1356,60-64,female,2039,1692937.0,1703362.0,10425.0,0.6157937359748177
1357,65-69,female,2039,1795690.0,1770169.0,-25521.0,-1.4212364049474018
1358,70-74,female,2039,1805887.0,1770405.0,-35482.0,-1.9647962469412539
1359,75-79,female,2039,1574123.0,1536646.0,-37477.0,-2.380817763287875
1360,80-84,female,2039,1164802.0,1134165.0,-30637.0,-2.63023243435365
1361,85-89,female,2039,797003.0,786720.0,-10283.0,-1.2902084433810161
1362,90-94,female,2039,458781.0,473774.0,14993.0,3.2680080474125996
1363,95-99,female,2039,118266.0,120348.0,2082.0,1.7604383339252194
1364,100&over,female,2039,15756.0,14673.0,-1083.0,-6.873571972581874
1365,0-4,persons,2039,3265763.0,3035066.0,-230697.0,-7.064107223947359
1366,5-9,persons,2039,3231192.0,3061175.0,-170017.0,-5.2617424158019706
1367,10-14,persons,2039,3257883.0,3095596.0,-162287.0,-4.981363664686547
1368,15-19,persons,2039,3367401.0,3274073.0,-93328.0,-2.7715142924766014
1369,20-24,persons,2039,3736475.0,3862405.0,125930.0,3.370288841755933
1370,25-29,persons,2039,4009825.0,4251085.0,241260.0,6.016721427992493
1371,30-34,persons,2039,3802042.0,4403283.0,601241.0,15.813633831504228
1372,35-39,persons,2039,3466231.0,4393689.0,927458.0,26.756958783185542
1373,40-44,persons,2039,3684316.0,4439620.0,755304.0,20.500521670779598
1374,45-49,persons,2039,3868825.0,4390103.0,521278.0,13.473806646720904
1375,50-54,persons,2039,3814490.0,4138428.0,323938.0,8.492301723166138
1376,55-59,persons,2039,3697404.0,3776138.0,78734.0,2.1294400070968713
1377,60-64,persons,2039,3323617.0,3311907.0,-11710.0,-0.3523269979663722
1378,65-69,persons,2039,3485041.0,3411794.0,-73247.0,-2.1017543265631597
1379,70-74,persons,2039,3456903.0,3363595.0,-93308.0,-2.699179005022704
1380,75-79,persons,2039,2968936.0,2872402.0,-96534.0,-3.2514678659290737
1381,80-84,persons,2039,2143086.0,2060225.0,-82861.0,-3.8664337315441375
1382,85-89,persons,2039,1403579.0,1354366.0,-49213.0,-3.506250805975296
1383,90-94,persons,2039,769749.0,768603.0,-1146.0,-0.14887969974628093
1384,95-99,persons,2039,185995.0,179414.0,-6581.0,-3.538267157719294
1385,100&over,persons,2039,23052.0,19887.0,-3165.0,-13.72982821447163
1386,0-4,male,2040,1688233.0,1561474.0,-126759.0,-7.5083830253288495
1387,5-9,male,2040,1663140.0,1572980.0,-90160.0,-5.421070986206813
1388,10-14,male,2040,1669466.0,1591327.0,-78139.0,-4.680478668029179
1389,15-19,male,2040,1723396.0,1663135.0,-60261.0,-3.4966426752760245
1390,20-24,male,2040,1899728.0,1966822.0,67094.0,3.531768758474897
1391,25-29,male,2040,2062572.9999999998,2167017.0,104444.00000000023,5.06377228830205
1392,30-34,male,2040,1991117.0,2267718.0,276601.0,13.891750208551281
1393,35-39,male,2040,1777269.0,2251474.0,474205.0,26.681667209634558
1394,40-44,male,2040,1854711.0,2219235.0,364524.0,19.65395147815482
1395,45-49,male,2040,1929068.0,2151071.0,222003.0,11.508303491634301
1396,50-54,male,2040,1898232.0,2026201.0,127969.0,6.741483654263545
1397,55-59,male,2040,1819236.0,1838382.0,19146.0,1.0524198069959037
1398,60-64,male,2040,1661117.0,1639934.0,-21183.0,-1.275226248361795
1399,65-69,male,2040,1659267.0,1612108.0,-47159.0,-2.842158615822529
1400,70-74,male,2040,1641381.0,1582712.0,-58669.0,-3.574368169242851
1401,75-79,male,2040,1431463.0,1367131.0,-64332.0,-4.4941434043352855
1402,80-84,male,2040,1010326.0,958201.0,-52125.0,-5.159225834037726
1403,85-89,male,2040,611447.0,570153.0,-41294.0,-6.753488037393265
1404,90-94,male,2040,314805.0,296836.0,-17969.0,-5.70797795460682
1405,95-99,male,2040,72042.0,63233.0,-8809.0,-12.227589461702895
1406,100&over,male,2040,7550.0,5358.0,-2192.0,-29.033112582781456
1407,0-4,female,2040,1609173.0,1484663.0,-124510.0,-7.737514860117588
1408,5-9,female,2040,1586370.0,1493565.0,-92805.0,-5.850148452126553
1409,10-14,female,2040,1590316.0,1510501.0,-79815.0,-5.018813870953949
1410,15-19,female,2040,1633863.0,1574222.0,-59641.0,-3.6503060538123453
1411,20-24,female,2040,1788633.0,1862743.0,74110.0,4.14338771564653
1412,25-29,female,2040,1947071.0,2064239.0,117168.0,6.01765420983621
1413,30-34,female,2040,1890358.0,2166950.0,276592.0,14.63172584240657
1414,35-39,female,2040,1703139.0,2165810.0,462671.0,27.16578036202565
1415,40-44,female,2040,1791483.0,2227774.0,436291.0,24.35362211084336
1416,45-49,female,2040,1904130.0,2245405.0,341275.0,17.92288341657345
1417,50-54,female,2040,1933718.0,2173548.0,239830.0,12.402532323741104
1418,55-59,female,2040,1888435.0,1972414.0,83979.0,4.447015650525435
1419,60-64,female,2040,1726820.0,1743554.0,16734.0,0.969064523227667
1420,65-69,female,2040,1760844.0,1737151.0,-23693.0,-1.345547930424274
1421,70-74,female,2040,1793762.0,1759750.0,-34012.0,-1.896126687932959
1422,75-79,female,2040,1617497.0,1578835.0,-38662.0,-2.3902362724629476
1423,80-84,female,2040,1201241.0,1171096.0,-30145.0,-2.5094881043853814
1424,85-89,female,2040,799836.0,787888.0,-11948.0,-1.4938062302772068
1425,90-94,female,2040,464955.0,480013.0,15058.0,3.238592982116549
1426,95-99,female,2040,124509.0,127756.0,3247.0,2.607843609698897
1427,100&over,female,2040,16148.0,15101.0,-1047.0,-6.483775080505326
1428,0-4,persons,2040,3297406.0,3046137.0,-251269.0,-7.620202061863174
1429,5-9,persons,2040,3249510.0,3066545.0,-182965.0,-5.630541220060871
1430,10-14,persons,2040,3259782.0,3101828.0,-157954.0,-4.845538750750817
1431,15-19,persons,2040,3357259.0,3237357.0,-119902.0,-3.5714253800496176
1432,20-24,persons,2040,3688361.0,3829565.0,141204.0,3.828367125669098
1433,25-29,persons,2040,4009644.0,4231256.0,221612.0,5.5269744645659316
1434,30-34,persons,2040,3881475.0,4434668.0,553193.0,14.252133531711527
1435,35-39,persons,2040,3480408.0,4417284.0,936876.0,26.91856816786997
1436,40-44,persons,2040,3646194.0,4447009.0,800815.0,21.963038719278238
1437,45-49,persons,2040,3833198.0,4396476.0,563278.0,14.69472748342246
1438,50-54,persons,2040,3831950.0,4199749.0,367799.0,9.598220227299418
1439,55-59,persons,2040,3707671.0,3810796.0,103125.0,2.781395652418998
1440,60-64,persons,2040,3387937.0,3383488.0,-4449.0,-0.13131885274135854
1441,65-69,persons,2040,3420111.0,3349259.0,-70852.0,-2.071628669361901
1442,70-74,persons,2040,3435143.0,3342462.0,-92681.0,-2.6980245072766986
1443,75-79,persons,2040,3048960.0,2945966.0,-102994.0,-3.3780043031066334
1444,80-84,persons,2040,2211567.0,2129297.0,-82270.0,-3.719986778605396
1445,85-89,persons,2040,1411283.0,1358041.0,-53242.0,-3.772595574381609
1446,90-94,persons,2040,779760.0,776849.0,-2911.0,-0.37331999589617315
1447,95-99,persons,2040,196551.0,190989.0,-5562.0,-2.829799899262787
1448,100&over,persons,2040,23698.0,20459.0,-3239.0,-13.667820069204154
1449,0-4,male,2041,1704085.0,1567333.0,-136752.0,-8.02495180698146
1450,5-9,male,2041,1674357.0,1576331.0,-98026.0,-5.854545954058782
1451,10-14,male,2041,1671679.0,1593563.0,-78116.0,-4.67290670038925
1452,15-19,male,2041,1719908.0,1654422.0,-65486.0,-3.8075292399360894
1453,20-24,male,2041,1870118.0,1937200.0,67082.0,3.5870463788915994
1454,25-29,male,2041,2057954.0000000002,2155632.0,97677.99999999977,4.746364593183315
1455,30-34,male,2041,2024245.0,2290140.0,265895.0,13.13551472277318
1456,35-39,male,2041,1807901.0,2271548.0,463647.0,25.645596744512005
1457,40-44,male,2041,1825316.0,2226073.0,400757.0,21.955486063782928
1458,45-49,male,2041,1909568.0,2155650.0,246082.0,12.886789053859301
1459,50-54,male,2041,1919056.0,2060225.0,141169.0,7.356168866359293
1460,55-59,male,2041,1826777.0,1858312.0,31535.0,1.7262643442521992
1461,60-64,male,2041,1696274.0,1675275.0,-20999.0,-1.2379485861364379
1462,65-69,male,2041,1616131.0,1570024.0,-46107.0,-2.852924670091719
1463,70-74,male,2041,1641329.0,1581937.0,-59392.0,-3.618531080606021
1464,75-79,male,2041,1455980.0,1387388.0,-68592.0,-4.7110537232654295
1465,80-84,male,2041,1045377.9999999999,991714.0,-53663.99999999988,-5.133454118988528
1466,85-89,male,2041,623996.0,580529.0,-43467.0,-6.965910037884858
1467,90-94,male,2041,315811.0,295922.0,-19889.0,-6.297754036433183
1468,95-99,male,2041,76505.0,67476.0,-9029.0,-11.801843016796287
1469,100&over,male,2041,7595.0,5354.0,-2241.0,-29.506254114549048
1470,0-4,female,2041,1624267.0,1490237.0,-134030.0,-8.25172216144267
1471,5-9,female,2041,1597038.0,1496754.0,-100284.0,-6.279374692399305
1472,10-14,female,2041,1592418.0,1512674.0,-79744.0,-5.007730382349358
1473,15-19,female,2041,1630486.0,1565146.0,-65340.0,-4.007394114392886
1474,20-24,female,2041,1761434.0,1834635.0,73201.0,4.155761725957373
1475,25-29,female,2041,1941698.0,2053621.0,111923.0,5.764181659557768
1476,30-34,female,2041,1922020.0,2190150.0,268130.0,13.950427154764258
1477,35-39,female,2041,1730358.0,2171416.0,441058.0,25.489407394308
1478,40-44,female,2041,1766336.0,2222168.0,455832.0,25.806641544983517
1479,45-49,female,2041,1876152.0,2236513.0,360361.0,19.207452274655783
1480,50-54,female,2041,1943955.0,2203090.0,259135.0,13.330298283653686
1481,55-59,female,2041,1892631.0,1996539.0,103908.0,5.490135161053581
1482,60-64,female,2041,1766309.0,1790727.0,24418.0,1.3824308204283622
1483,65-69,female,2041,1711317.0,1689240.0,-22077.0,-1.2900590597767685
1484,70-74,female,2041,1792287.0,1759629.0,-32658.0,-1.822141208411376
1485,75-79,female,2041,1647804.0,1608462.0,-39342.0,-2.3875412367004816
1486,80-84,female,2041,1241837.0,1211713.0,-30124.0,-2.4257611908809285
1487,85-89,female,2041,812268.0,798657.0,-13611.0,-1.6756784706525432
1488,90-94,female,2041,466148.0,480742.0,14594.0,3.1307653363309504
1489,95-99,female,2041,131084.0,135324.0,4240.0,3.234567147783101
1490,100&over,female,2041,16155.000000000002,15160.0,-995.0000000000018,-6.159083874961323
1491,0-4,persons,2041,3328352.0,3057570.0,-270782.0,-8.135617867340954
1492,5-9,persons,2041,3271395.0,3073085.0,-198310.0,-6.061939936938217
1493,10-14,persons,2041,3264097.0,3106237.0,-157860.0,-4.836253334383138
1494,15-19,persons,2041,3350394.0,3219568.0,-130826.0,-3.9047944808879196
1495,20-24,persons,2041,3631552.0,3771835.0,140283.0,3.8628938811835822
1496,25-29,persons,2041,3999652.0,4209253.0,209601.0,5.2404809218402
1497,30-34,persons,2041,3946265.0,4480290.0,534025.0,13.53241609471234
1498,35-39,persons,2041,3538259.0,4442964.0,904705.0,25.569213559550054
1499,40-44,persons,2041,3591652.0,4448241.0,856589.0,23.849443097493854
1500,45-49,persons,2041,3785720.0,4392163.0,606443.0,16.019224876641697
1501,50-54,persons,2041,3863011.0,4263315.0,400304.0,10.362486671666222
1502,55-59,persons,2041,3719408.0,3854851.0,135443.0,3.64152037098377
1503,60-64,persons,2041,3462583.0,3466002.0,3419.0,0.09874131537063516
1504,65-69,persons,2041,3327448.0,3259264.0,-68184.0,-2.049137957978607
1505,70-74,persons,2041,3433616.0,3341566.0,-92050.0,-2.680847246750947
1506,75-79,persons,2041,3103784.0,2995850.0,-107934.0,-3.477497145419913
1507,80-84,persons,2041,2287215.0,2203427.0,-83788.0,-3.663319801592767
1508,85-89,persons,2041,1436264.0,1379186.0,-57078.0,-3.9740604791319702
1509,90-94,persons,2041,781959.0,776664.0,-5295.0,-0.6771454769367704
1510,95-99,persons,2041,207589.0,202800.0,-4789.0,-2.306962314958885
1511,100&over,persons,2041,23750.0,20514.0,-3236.0,-13.625263157894738
1512,0-4,male,2042,1718786.0,1573145.0,-145641.0,-8.473480700913319
1513,5-9,male,2042,1687331.0,1580410.0,-106921.0,-6.336693867415463
1514,10-14,male,2042,1675525.0,1595400.0,-80125.0,-4.782083227645066
1515,15-19,male,2042,1718400.0,1642884.0,-75516.0,-4.3945530726256985
1516,20-24,male,2042,1846562.0,1919421.0,72859.0,3.945656847698588
1517,25-29,male,2042,2036338.0,2135811.0,99473.0,4.884896318784014
1518,30-34,male,2042,2057384.0,2308240.0,250856.0,12.19295960306875
1519,35-39,male,2042,1853830.0,2291132.0,437302.0,23.589110112577742
1520,40-44,male,2042,1791000.0,2226940.0,435940.0,24.340591848129538
1521,45-49,male,2042,1898838.0,2170419.0,271581.0,14.302483940178151
1522,50-54,male,2042,1936995.0,2090777.0,153782.0,7.939204799186368
1523,55-59,male,2042,1830505.0,1884179.0,53674.0,2.9321963064837298
1524,60-64,male,2042,1731842.0,1714457.0,-17385.0,-1.003844461561736
1525,65-69,male,2042,1577310.0,1533442.0,-43868.0,-2.781190761486328
1526,70-74,male,2042,1631669.0,1569135.0,-62534.0,-3.8325175020178723
1527,75-79,male,2042,1473573.0,1401926.0,-71647.0,-4.8621276312744595
1528,80-84,male,2042,1082308.0,1025725.0,-56583.0,-5.227994249326439
1529,85-89,male,2042,642131.0,596935.0,-45196.0,-7.0384391969862845
1530,90-94,male,2042,308054.0,286013.0,-22041.0,-7.154914398125004
1531,95-99,male,2042,87951.0,78383.0,-9568.0,-10.878784777887688
1532,100&over,male,2042,8039.0,5690.0,-2349.0,-29.22005224530414
1533,0-4,female,2042,1638267.0,1495771.0,-142496.0,-8.697971698142
1534,5-9,female,2042,1609383.0,1500637.0,-108746.0,-6.756999421517438
1535,10-14,female,2042,1596072.0,1514416.0,-81656.0,-5.116059927121083
1536,15-19,female,2042,1629016.0,1553814.0,-75202.0,-4.616406468690301
1537,20-24,female,2042,1739819.0,1816547.0,76728.0,4.41011392564399
1538,25-29,female,2042,1919874.0,2034604.0,114730.0,5.9759130026241305
1539,30-34,female,2042,1955724.0,2209509.0,253785.0,12.976524294839148
1540,35-39,female,2042,1773253.0,2182030.0,408777.0,23.05237887656189
1541,40-44,female,2042,1732083.0,2206442.0,474359.0,27.386620618065074
1542,45-49,female,2042,1852704.0,2237930.0,385226.0,20.792636060590358
1543,50-54,female,2042,1949219.0,2224262.0,275043.0,14.11042063513643
1544,55-59,female,2042,1898637.0,2031853.0,133216.0,7.016401766109056
1545,60-64,female,2042,1811165.0,1840407.0,29242.0,1.6145409170340637
1546,65-69,female,2042,1668412.0,1650501.0,-17911.0,-1.0735357933172383
1547,70-74,female,2042,1779943.0,1746348.0,-33595.0,-1.8874199904154236
1548,75-79,female,2042,1665725.0,1625515.0,-40210.0,-2.4139638895976225
1549,80-84,female,2042,1284291.0,1255085.0,-29206.0,-2.274095201165468
1550,85-89,female,2042,832596.0,817719.0,-14877.0,-1.7868209792023984
1551,90-94,female,2042,453565.0,465903.0,12338.0,2.720227530783901
1552,95-99,female,2042,148616.0,154780.0,6164.0,4.147601873284168
1553,100&over,female,2042,16889.0,16007.0,-882.0,-5.222334063591687
1554,0-4,persons,2042,3357053.0,3068916.0,-288137.0,-8.583033988441647
1555,5-9,persons,2042,3296714.0,3081047.0,-215667.0,-6.541877760703536
1556,10-14,persons,2042,3271597.0,3109816.0,-161781.0,-4.945016149605223
1557,15-19,persons,2042,3347416.0,3196698.0,-150718.0,-4.502517762955067
1558,20-24,persons,2042,3586381.0,3735968.0,149587.0,4.170973468797654
1559,25-29,persons,2042,3956212.0,4170415.0,214203.0,5.414345843953762
1560,30-34,persons,2042,4013108.0,4517749.0,504641.0,12.574817323630464
1561,35-39,persons,2042,3627083.0,4473162.0,846079.0,23.32670633674498
1562,40-44,persons,2042,3523083.0,4433382.0,910299.0,25.83813665474245
1563,45-49,persons,2042,3751542.0,4408349.0,656807.0,17.50765418593208
1564,50-54,persons,2042,3886214.0,4315039.0,428825.0,11.034518428475632
1565,55-59,persons,2042,3729142.0,3916032.0,186890.0,5.011608568405279
1566,60-64,persons,2042,3543007.0,3554864.0,11857.0,0.33465923155105254
1567,65-69,persons,2042,3245722.0,3183943.0,-61779.0,-1.9033977648116505
1568,70-74,persons,2042,3411612.0,3315483.0,-96129.0,-2.817700254307934
1569,75-79,persons,2042,3139298.0,3027441.0,-111857.0,-3.563121436703365
1570,80-84,persons,2042,2366599.0,2280810.0,-85789.0,-3.6249909680516215
1571,85-89,persons,2042,1474727.0,1414654.0,-60073.0,-4.073499705369197
1572,90-94,persons,2042,761619.0,751916.0,-9703.0,-1.2739965783416642
1573,95-99,persons,2042,236567.0,233163.0,-3404.0,-1.4389158251150838
1574,100&over,persons,2042,24928.0,21697.0,-3231.0,-12.96132862644416
1575,0-4,male,2043,1731619.0,1578463.0,-153156.0,-8.844670796520482
1576,5-9,male,2043,1701833.0,1585207.0,-116626.0,-6.852963833701661
1577,10-14,male,2043,1681315.0,1597284.0,-84031.0,-4.9979331654092185
1578,15-19,male,2043,1718056.0,1646645.0,-71411.0,-4.1565001373645565
1579,20-24,male,2043,1831173.0,1893098.0,61925.0,3.3817121593645165
1580,25-29,male,2043,2014042.0,2117372.0,103330.0,5.130478907589811
