Age,Sex,Year,Population_2018,Population_2022,Population_Difference,Percentage_Change
65-69,male,2043,1556959.0,1514324,-42635.0,-2.7383508493158777
70-74,male,2043,1614887.0,1549310,-65577.0,-4.060779484880366
75-79,male,2043,1480413.0,1407951,-72462.0,-4.894715190963603
80-84,male,2043,1116688.0,1056506,-60182.0,-5.389329875488945
85-89,male,2043,663049.0,616806,-46243.0,-6.9742960173380855
90-94,male,2043,308250.0,283816,-24434.0,-7.9266828872668285
95-99,male,2043,93548.0,83355,-10193.0,-10.89601060418181
0-4,female,2043,1650487.0,1500832,-149655.0,-9.067323765652198
5-9,female,2043,1623183.0,1505199,-117984.0,-7.268681350161997
10-14,female,2043,1601576.0,1516204,-85372.0,-5.330499458033837
15-19,female,2043,1628652.0,1557693,-70959.0,-4.3569160262597535
20-24,female,2043,1726419.0,1789950,63531.0,3.679929379831895
25-29,female,2043,1898635.0,2017559,118924.0,6.263657838394425
30-34,female,2043,1966945.0,2207543,240598.0,12.232065461921914
35-39,female,2043,1822925.0,2205208,382283.0,20.970857276081023
40-44,female,2043,1711403.0,2195997,484594.0,28.315598371628425
45-49,female,2043,1834697.0,2240765,406068.0,22.132700930998418
50-54,female,2043,1934899.0,2226831,291932.0,15.087712588615735
55-59,female,2043,1910591.0,2074337,163746.0,8.5704371055867
60-64,female,2043,1850993.0,1887600,36607.0,1.9776952154870384
65-69,female,2043,1644474.0,1632016,-12458.0,-0.7575674653415013
70-74,female,2043,1757841.0,1722746,-35095.0,-1.996483185908168
75-79,female,2043,1672875.0,1634122,-38753.0,-2.3165508480908614
80-84,female,2043,1325381.0,1296379,-29002.0,-2.188200977681135
85-89,female,2043,856904.0,840989,-15915.0,-1.857267558559652
90-94,female,2043,451122.0,461177,10055.0,2.2288870859767425
95-99,female,2043,157464.0,164660,7196.0,4.569933445104913
0-4,persons,2043,3382106.0,3079295,-302811.0,-8.953326714183412
5-9,persons,2043,3325016.0,3090406,-234610.0,-7.055905896392679
10-14,persons,2043,3282891.0,3113488,-169403.0,-5.160177416795135
15-19,persons,2043,3346708.0,3204338,-142370.0,-4.254031125511996
20-24,persons,2043,3557592.0,3683048,125456.0,3.5264302370817115
25-29,persons,2043,3912677.0,4134931,222254.0,5.680356441382715
30-34,persons,2043,4036971.0,4514168,477197.0,11.820669506914962
35-39,persons,2043,3728328.0,4518813,790485.0,21.202131357541504
40-44,persons,2043,3482451.0,4433727,951276.0,27.316278104128383
45-49,persons,2043,3720774.0,4429150,708376.0,19.038404375003697
50-54,persons,2043,3870476.0,4331282,460806.0,11.90566741661749
55-59,persons,2043,3757048.0,3995003,237955.0,6.333562946227995
60-64,persons,2043,3614092.0,3637328,23236.0,0.6429277395262766
65-69,persons,2043,3201433.0,3146340,-55093.0,-1.7208856159101251
70-74,persons,2043,3372728.0,3272056,-100672.0,-2.984883453394404
75-79,persons,2043,3153288.0,3042073,-111215.0,-3.5269534530306146
80-84,persons,2043,2442069.0,2352885,-89184.0,-3.651985263315656
85-89,persons,2043,1519953.0,1457795,-62158.0,-4.089468555935611
90-94,persons,2043,759372.0,744993,-14379.0,-1.893538344842844
95-99,persons,2043,251012.0,248015,-2997.0,-1.1939668223033162
0-4,male,2044,1741834.0,1582855,-158979.0,-9.127103960538143
5-9,male,2044,1717536.0,1590522,-127014.0,-7.39512883572746
10-14,male,2044,1688966.0,1599536,-89430.0,-5.294955611895088
15-19,male,2044,1718158.0,1651169,-66989.0,-3.898884735862476
20-24,male,2044,1827438.0,1868699,41261.0,2.257860458193383
25-29,male,2044,1986602.0,2104792,118190.0,5.949354727318306
30-34,male,2044,2078075.0,2299953,221878.00000000023,10.677092982688317
35-39,male,2044,1945619.0,2323673,378054.0,19.43103968454255
40-44,male,2044,1762554.0,2252726,490172.0,27.81032524393579
45-49,male,2044,1869226.0,2204851,335625.0,17.95529272543823
50-54,male,2044,1937004.0,2123356,186352.0,9.620630623375067
55-59,male,2044,1863114.0,1956783,93669.0,5.027550649074613
60-64,male,2044,1771691.0,1764527,-7164.0,-0.4043594509426305
65-69,male,2044,1570627.0,1528811,-41816.0,-2.6623762357326086
70-74,male,2044,1585336.0,1518482,-66854.0,-4.217024025190874
75-79,male,2044,1481970.0,1409550,-72420.0,-4.886738597947327
80-84,male,2044,1152271.0,1086925,-65346.0,-5.67106175543774
85-89,male,2044,685455.0,638416,-47039.0,-6.862449030206213
90-94,male,2044,311990.0,285714,-26276.0,-8.422064809769545
95-99,male,2044,95953.0,84911,-11042.0,-11.507717319937887
0-4,female,2044,1660206.0,1505014,-155192.0,-9.347755639962752
5-9,female,2044,1638132.0,1510254,-127878.0,-7.806330625370849
10-14,female,2044,1608856.0,1518342,-90514.0,-5.625985172072578
15-19,female,2044,1628720.0,1562221,-66499.0,-4.082899454786581
20-24,female,2044,1722741.0,1766285,43544.0,2.527599912000701
25-29,female,2044,1873293.0,2003816,130523.0,6.967569942342175
30-34,female,2044,1973722.0,2202139,228417.0,11.572906417418462
35-39,female,2044,1861385.0,2218440,357055.0,19.18222184018889
40-44,female,2044,1702544.0,2192657,490113.0,28.78709742596961
45-49,female,2044,1816433.0,2238692,422259.0,23.246604746775688
50-54,female,2044,1924303.0,2235879,311576.0,16.191628865100764
55-59,female,2044,1920070.0,2112762,192692.0,10.035675782653758
60-64,female,2044,1864085.0,1910620,46535.0,2.4963990375975342
65-69,female,2044,1657172.0,1651599,-5573.0,-0.3362958099702384
70-74,female,2044,1722654.0,1687193,-35461.0,-2.0585097181442125
75-79,female,2044,1673854.0,1636691,-37163.0,-2.2202055854333773
80-84,female,2044,1367690.0,1337350,-30340.0,-2.2183389510780955
85-89,female,2044,882796.0,866986,-15810.0,-1.7909007290472545
90-94,female,2044,455126.0,463526,8400.0,1.845642745085976
95-99,female,2044,161158.0,168457,7299.0,4.52909567008774
0-4,persons,2044,3402040.0,3087869,-314171.0,-9.234782659815876
5-9,persons,2044,3355668.0,3100776,-254892.0,-7.595864668376014
10-14,persons,2044,3297822.0,3117878,-179944.0,-5.456449741677993
15-19,persons,2044,3346878.0,3213390,-133488.0,-3.988433399723564
20-24,persons,2044,3550179.0,3634984,84805.0,2.388752792464831
25-29,persons,2044,3859895.0,4108608,248713.0,6.443517245935447
30-34,persons,2044,4051797.0,4502092,450295.0,11.113463976601
35-39,persons,2044,3807004.0,4542113,735109.0,19.309383441677497
40-44,persons,2044,3465098.0,4445383,980285.0,28.290253262678284
45-49,persons,2044,3685659.0,4443543,757884.0,20.56305263183599
50-54,persons,2044,3861307.0,4359235,497928.0,12.895322749524968
55-59,persons,2044,3783184.0,4069545,286361.0,7.569311986940101
60-64,persons,2044,3635776.0,3675147,39371.0,1.0828774930028693
65-69,persons,2044,3227799.0,3180410,-47389.0,-1.4681521371064308
70-74,persons,2044,3307990.0,3205675,-102315.0,-3.092965819122791
75-79,persons,2044,3155824.0,3046241,-109583.0,-3.4724053052388215
80-84,persons,2044,2519961.0,2424275,-95686.0,-3.797122257050803
85-89,persons,2044,1568251.0,1505402,-62849.0,-4.007585520430084
90-94,persons,2044,767116.0,749240,-17876.0,-2.3302864234353087
95-99,persons,2044,257111.0,253368,-3743.0,-1.4557914674984735
0-4,male,2045,1749354.0,1586153,-163201.0,-9.329215241740666
5-9,male,2045,1733737.0,1596187,-137550.0,-7.933729279585081
10-14,male,2045,1698361.0,1602294,-96067.0,-5.656453486626224
15-19,male,2045,1719153.0,1654300,-64853.0,-3.772380934099525
20-24,male,2045,1822287.0,1850669,28382.0,1.5574934134963372
25-29,male,2045,1961212.0,2088046,126834.0,6.467123391045945
30-34,male,2045,2078892.0,2289578,210686.00000000023,10.134533203264056
35-39,male,2045,1986069.0,2337234,351165.0,17.681409860382495
40-44,male,2045,1769323.0,2273178,503855.0,28.47727633676836
45-49,male,2045,1851883.0,2217148,365265.0,19.72397824268596
50-54,male,2045,1921680.0,2132986,211306.0,10.99589942133966
55-59,male,2045,1877453.0,1987035,109582.0,5.8367373244496665
60-64,male,2045,1778709.0,1779193,484.0,0.0272107466707595
65-69,male,2045,1600812.0,1559787,-41025.0,-2.562761898336594
70-74,male,2045,1558248.0,1492359,-65889.0,-4.228402667611317
75-79,male,2045,1475185.0,1401928,-73257.0,-4.965953422791039
80-84,male,2045,1184778.0,1114454,-70324.0,-5.93562675876831
85-89,male,2045,710571.0,662918,-47653.0,-6.706296766966285
90-94,male,2045,317077.0,289118,-27959.0,-8.817731970467742
95-99,male,2045,97094.0,85070,-12024.0,-12.383875419696375
0-4,female,2045,1667364.0,1508151,-159213.0,-9.548784788444516
5-9,female,2045,1653560.0,1515653,-137907.0,-8.340005805655675
10-14,female,2045,1617790.0,1520956,-96834.0,-5.985572911193666
15-19,female,2045,1629646.0,1565325,-64321.0,-3.946930805831451
20-24,female,2045,1717752.0,1747643,29891.0,1.7401231376822732
25-29,female,2045,1850461.0,1987516,137055.0,7.406532750487581
30-34,female,2045,1972771.0,2192834,220063.0,11.15502002006315
35-39,female,2045,1900190.0,2236203,336013.0,17.683126424199685
40-44,female,2045,1710125.0,2195919,485794.0,28.406929318032308
45-49,female,2045,1796206.0,2233959,437753.0,24.37097972058884
50-54,female,2045,1904733.0,2233015,328282.0,17.235066542134778
55-59,female,2045,1923513.0,2143385,219872.0,11.430751962684942
60-64,female,2045,1868104.0,1930824,62720.0,3.3574147906112293
65-69,female,2045,1690849.0,1691255,406.0,0.0240116060038477
70-74,female,2045,1690128.0,1656556,-33572.0,-1.9863584296573988
75-79,female,2045,1664116.0,1628131,-35985.0,-2.1624093512711853
80-84,female,2045,1407308.0,1375829,-31479.0,-2.2368237798690833
85-89,female,2045,913114.0,897722,-15392.0,-1.6856602790013078
90-94,female,2045,459985.0,467059,7074.0,1.537876235094623
95-99,female,2045,163203.0,170069,6866.0,4.207030508017622
0-4,persons,2045,3416718.0,3094304,-322414.0,-9.436365541434792
5-9,persons,2045,3387297.0,3111840,-275457.0,-8.132059279124329
10-14,persons,2045,3316151.0,3123250,-192901.0,-5.817014967050656
15-19,persons,2045,3348799.0,3219625,-129174.0,-3.8573231776526447
20-24,persons,2045,3540039.0,3598312,58273.0,1.6461118083727326
25-29,persons,2045,3811673.0,4075562,263889.0,6.923180451208695
30-34,persons,2045,4051663.0,4482412,430749.0,10.63141233611976
35-39,persons,2045,3886259.0,4573437,687178.0,17.682249175878397
40-44,persons,2045,3479448.0,4469097,989649.0,28.442701256061305
45-49,persons,2045,3648089.0,4451107,803018.0,22.012017798907863
50-54,persons,2045,3826413.0,4366001,539588.0,14.101666495488072
55-59,persons,2045,3800966.0,4130420,329454.0,8.667638700267249
60-64,persons,2045,3646813.0,3710017,63204.0,1.7331297217597943
65-69,persons,2045,3291661.0,3251042,-40619.0,-1.2339970610582318
70-74,persons,2045,3248376.0,3148915,-99461.0,-3.0618684536519174
75-79,persons,2045,3139301.0,3030059,-109242.0,-3.4798192336446867
80-84,persons,2045,2592086.0,2490283,-101803.0,-3.927454567479628
85-89,persons,2045,1623685.0,1560640,-63045.0,-3.8828344167741897
90-94,persons,2045,777062.0,756177,-20885.0,-2.6876877263332912
95-99,persons,2045,260297.00000000003,255139,-5158.000000000029,-1.981582576825714
0-4,male,2046,1754141.0,1588255,-165886.0,-9.456822456119548
5-9,male,2046,1749584.0,1602040,-147544.0,-8.433090380341842
10-14,male,2046,1709578.0,1605646,-103932.0,-6.079395031990351
15-19,male,2046,1721377.0,1656539,-64838.0,-3.7666356643547583
20-24,male,2046,1818809.0,1841973,23164.0,1.2735806783450048
25-29,male,2046,1931595.0,2058323,126728.0,6.560795611916577
30-34,male,2046,2074320.0,2278313,203992.99999999977,9.834210729299228
35-39,male,2046,2019130.0,2359607,340477.0,16.8625596172609
40-44,male,2046,1799923.0,2293257,493334.0,27.40861692416842
45-49,male,2046,1822928.0,2224065,401137.0,22.005092905479536
50-54,male,2046,1902686.0,2137832,235146.0,12.35863405732738
55-59,male,2046,1898301.0,2020753,122452.0,6.450610308902539
60-64,male,2046,1786640.0,1799137,12497.0,0.699469395065598
65-69,male,2046,1635378.0,1594268,-41110.0,-2.5137919184433204
70-74,male,2046,1519145.0,1454813,-64332.0,-4.234750468190989
75-79,male,2046,1477173.0,1403111,-74062.0,-5.01376616009093
80-84,male,2046,1207305.0,1132950,-74355.0,-6.1587585572825425
85-89,male,2046,738286.0,688725,-49561.0,-6.71298114822711
90-94,male,2046,326316.0,296783,-29533.0,-9.0504296448841
95-99,male,2046,97584.0,84700,-12884.0,-13.202984095753404
0-4,female,2046,1671917.0,1510150,-161767.0,-9.675540113534344
5-9,female,2046,1668649.0,1521222,-147427.0,-8.835111518360064
10-14,female,2046,1628457.0,1524147,-104310.0,-6.405450067149456
15-19,female,2046,1631760.0,1567493,-64267.0,-3.938508113938324
20-24,female,2046,1714363.0,1738496,24133.0,1.4076948697562883
25-29,female,2046,1823218.0,1959287,136069.0,7.463122895890672
30-34,female,2046,1967433.0,2182309,214876.0,10.921642566735436
35-39,female,2046,1931796.0,2259313,327517.0,16.95401584846433
40-44,female,2046,1737329.0,2201614,464285.0,26.724068958729173
45-49,female,2046,1771305.0,2228480,457175.0,25.81006658932256
50-54,female,2046,1877149.0,2224435,347286.0,18.500715713030772
55-59,female,2046,1933880.0,2172727,238847.0,12.35066291600306
60-64,female,2046,1872625.0,1954850,82225.0,4.390895133836192
65-69,female,2046,1729877.0,1737519,7642.0,0.4417655128081361
70-74,female,2046,1643749.0,1611911,-31838.0,-1.9369137258790727
75-79,female,2046,1664429.0,1629482,-34947.0,-2.099638975288222
80-84,female,2046,1435573.0,1403292,-32281.0,-2.2486491456721462
85-89,female,2046,946952.0,931543,-15409.0,-1.627220809502488
90-94,female,2046,470410.0,476354,5944.0,1.2635785803873216
95-99,female,2046,163671.0,169927,6256.0,3.822302057175676
0-4,persons,2046,3426058.0,3098405,-327653.0,-9.563556717370226
5-9,persons,2046,3418233.0,3123262,-294971.0,-8.629341534061604
10-14,persons,2046,3338035.0,3129793,-208242.0,-6.23846065125141
15-19,persons,2046,3353137.0,3224032,-129105.0,-3.850275130422646
20-24,persons,2046,3533172.0,3580469,47297.0,1.3386554631362413
25-29,persons,2046,3754813.0,4017610,262797.0,6.99893709753322
30-34,persons,2046,4041753.0,4460622,418869.0,10.363547698238856
35-39,persons,2046,3950926.0,4618920,667994.0,16.907276926978636
40-44,persons,2046,3537252.0,4494871,957619.0,27.07239970462947
45-49,persons,2046,3594233.0,4452545,858312.0,23.88025484157538
50-54,persons,2046,3779835.0,4362267,582432.0,15.4089265801285
55-59,persons,2046,3832181.0,4193480,361299.0,9.42802545078116
60-64,persons,2046,3659265.0,3753987,94722.0,2.588552619173522
65-69,persons,2046,3365255.0,3331787,-33468.0,-0.9945160173597544
70-74,persons,2046,3162894.0,3066724,-96170.0,-3.0405698072714418
75-79,persons,2046,3141602.0,3032593,-109009.0,-3.469853915295445
80-84,persons,2046,2642878.0,2536242,-106636.0,-4.034843833124344
85-89,persons,2046,1685238.0,1620268,-64970.0,-3.855241811542346
90-94,persons,2046,796726.0,773137,-23589.0,-2.9607418359636815
95-99,persons,2046,261255.0,254627,-6628.0,-2.5369849380873095
0-4,male,2047,1756192.0,1589112,-167080.0,-9.51376614857601
5-9,male,2047,1764279.0,1607851,-156428.0,-8.866398115037361
10-14,male,2047,1722553.0,1609723,-112830.0,-6.550161301277813
15-19,male,2047,1725231.0,1658382,-66849.0,-3.874785463511843
20-24,male,2047,1817303.0,1830444,13141.0,0.7231045125661488
25-29,male,2047,1908050.0,2040423,132373.0,6.937606456853857
30-34,male,2047,2052786.0,2258633,205847.0,10.027689198971544
35-39,male,2047,2052213.0,2377678,325464.99999999977,15.859221240680167
40-44,male,2047,1845703.0,2312833,467130.0,25.309055682306415
45-49,male,2047,1789101.0,2225096,435995.0,24.369501777708468
50-54,male,2047,1892358.0,2152741,260383.0,13.75971142880998
55-59,male,2047,1916227.0,2051035,134808.0,7.035074654516402
60-64,male,2047,1790771.0,1824759,33988.0,1.8979534513346483
65-69,male,2047,1670164.0,1632194,-37970.0,-2.2734294356721856
70-74,male,2047,1484076.0,1422285,-61791.0,-4.163600785943577
75-79,male,2047,1470459.0,1393512,-76947.0,-5.232855863373273
80-84,male,2047,1224331.0,1146985,-77346.0,-6.317409262691216
85-89,male,2047,767591.0,715044,-52547.0,-6.845702985053238
90-94,male,2047,338493.0,307512,-30981.0,-9.152626494491765
95-99,male,2047,96652.0,83113,-13539.0,-14.007987418780782
0-4,female,2047,1673859.0,1510968,-162891.0,-9.731464836643946
5-9,female,2047,1682641.0,1526750,-155891.0,-9.264661921348642
10-14,female,2047,1640803.0,1528033,-112770.0,-6.872854328033286
15-19,female,2047,1635419.0,1569232,-66187.0,-4.047097410510701
20-24,female,2047,1712885.0,1727047,14162.0,0.8267922248136916
25-29,female,2047,1801583.0,1941079,139496.0,7.742968267351545
30-34,female,2047,1945677.0,2163393,217716.0,11.189729847245973
35-39,female,2047,1965449.0,2278609,313160.0,15.933254945816453
40-44,female,2047,1780134.0,2212274,432140.0,24.27570059332612
45-49,female,2047,1737340.0,2212982,475642.0,27.377600239446508
50-54,female,2047,1854072.0,2226097,372025.0,20.065294120185193
55-59,female,2047,1939307.0,2193802,254495.0,13.122986716388896
60-64,female,2047,1878912.0,1989806,110894.0,5.902032665712923
65-69,female,2047,1773986.0,1786060,12074.0,0.6806141649370401
70-74,female,2047,1603654.0,1575933,-27721.0,-1.728614776005298
75-79,female,2047,1654440.0,1618440,-36000.0,-2.1759628635671286
80-84,female,2047,1453142.0,1419913,-33229.0,-2.286700129787729
85-89,female,2047,982559.0,967824,-14735.0,-1.4996554914259603
90-94,female,2047,485526.0,490732,5206.0,1.0722391797761603
95-99,female,2047,161436.0,166822,5386.0,3.336306647835675
0-4,persons,2047,3430051.0,3100080,-329971.0,-9.620002734653218
5-9,persons,2047,3446920.0,3134601,-312319.0,-9.06081371195154
10-14,persons,2047,3363356.0,3137756,-225600.0,-6.707586113393884
15-19,persons,2047,3360650.0,3227614,-133036.0,-3.958638953773824
20-24,persons,2047,3530188.0,3557491,27303.0,0.7734149002829311
25-29,persons,2047,3709633.0,3981502,271869.0,7.328730362275729
30-34,persons,2047,3998463.0,4422026,423563.0,10.593145416126148
35-39,persons,2047,4017662.0,4656287,638625.0,15.895438690462264
40-44,persons,2047,3625837.0,4525107,899270.0,24.80172164385768
45-49,persons,2047,3526441.0,4438078,911637.0,25.85147461704307
50-54,persons,2047,3746430.0,4378838,632408.0,16.880283363095
55-59,persons,2047,3855534.0,4244837,389303.0,10.097252416915529
60-64,persons,2047,3669683.0,3814565,144882.0,3.948079439014214
65-69,persons,2047,3444150.0,3418254,-25896.0,-0.7518836287618135
70-74,persons,2047,3087730.0,2998218,-89512.0,-2.89895813429283
75-79,persons,2047,3124899.0,3011952,-112947.0,-3.614420818080841
80-84,persons,2047,2677473.0,2566898,-110575.0,-4.129826892745511
85-89,persons,2047,1750150.0,1682868,-67282.0,-3.844356198040168
90-94,persons,2047,824019.0,798244,-25775.0,-3.127961855248483
95-99,persons,2047,258088.00000000003,249935,-8153.000000000029,-3.1590000309971904
0-4,male,2048,1755619.0,1588469,-167150.0,-9.520858455052036
5-9,male,2048,1777109.0,1613169,-163940.0,-9.225095365562831
10-14,male,2048,1737053.0,1614514,-122539.0,-7.054419180071074
15-19,male,2048,1731031.0,1660273,-70758.0,-4.08762176991631
20-24,male,2048,1816963.0,1834130,17167.0,0.944818358986947
25-29,male,2048,1892684.0,2014024,121340.0,6.411001519535222
30-34,male,2048,2030565.0,2240318,209753.0,10.329785059823251
35-39,male,2048,2064872.0,2376147,311275.00000000023,15.074784296556896
40-44,male,2048,1897083.0,2335305,438222.0,23.099780030710303
45-49,male,2048,1769528.0,2235978,466450.0,26.360136714423284
50-54,male,2048,1879992.0,2170756,290764.0,15.466236026536285
55-59,male,2048,1915127.0,2064809,149682.0,7.815774097488052
60-64,male,2048,1806873.0,1860668,53795.0,2.9772430049040524
65-69,male,2048,1700766.0,1666337,-34429.0,-2.0243231579182557
70-74,male,2048,1466333.0,1405972,-60361.0,-4.116459221745675
75-79,male,2048,1456984.0,1377460,-79524.0,-5.458124454352278
80-84,male,2048,1232325.0,1154046,-78279.0,-6.352139248980586
85-89,male,2048,795242.0,739306,-55936.0,-7.033833726085896
90-94,male,2048,352557.0,320421,-32136.0,-9.115121810090285
95-99,male,2048,98233.0,83809,-14424.0,-14.683456679527248
0-4,female,2048,1673303.0,1510354,-162949.0,-9.738164576290128
5-9,female,2048,1694857.0,1531811,-163046.0,-9.620044640934308
10-14,female,2048,1654597.0,1532590,-122007.0,-7.3738197277040864
15-19,female,2048,1640935.0,1571018,-69917.0,-4.260802530264757
20-24,female,2048,1712518.0,1730827,18309.0,1.0691274485874016
25-29,female,2048,1788179.0,1914385,126206.0,7.057794549650789
30-34,female,2048,1924498.0,2146448,221950.0,11.532877664720878
35-39,female,2048,1976675.0,2276681,300006.0,15.177305323333377
40-44,female,2048,1829676.0,2235434,405758.0,22.176494636208815
45-49,female,2048,1716883.0,2202738,485855.0,28.29866682819971
50-54,female,2048,1836374.0,2229107,392733.0,21.38632979992093
55-59,female,2048,1925365.0,2196578,271213.0,14.086316101102907
60-64,female,2048,1891053.0,2031779,140726.0,7.441674030288945
65-69,female,2048,1813159.0,1832173,19014.0,1.0486669950070568
70-74,female,2048,1581719.0,1559281,-22438.0,-1.418583199670738
75-79,female,2048,1635176.0,1597707,-37469.0,-2.291435295038577
80-84,female,2048,1461373.0,1429180,-32193.0,-2.20292834204546
85-89,female,2048,1017319.0,1002533,-14786.0,-1.4534280790981
90-94,female,2048,503374.0,507982,4608.0,0.9154227274352668
95-99,female,2048,162770.0,167296,4526.0,2.7806106776433004
0-4,persons,2048,3428922.0,3098823,-330099.0,-9.626903149152998
5-9,persons,2048,3471966.0,3144980,-326986.0,-9.417891765069127
10-14,persons,2048,3391650.0,3147104,-244546.0,-7.210236905341058
15-19,persons,2048,3371966.0,3231291,-140675.0,-4.1718985304122285
20-24,persons,2048,3529481.0,3564957,35476.0,1.0051336159622335
25-29,persons,2048,3680863.0,3928409,247546.0,6.72521634192851
30-34,persons,2048,3955063.0,4386766,431703.0,10.915199075210683
35-39,persons,2048,4041547.0,4652828,611281.0,15.124926173071843
40-44,persons,2048,3726759.0,4570739,843980.0,22.64648720241905
45-49,persons,2048,3486411.0,4438716,952305.0,27.314765815045902
50-54,persons,2048,3716366.0,4399863,683497.0,18.391541629645737
55-59,persons,2048,3840492.0,4261387,420895.0,10.959403118142156
60-64,persons,2048,3697926.0,3892447,194521.0,5.2602729205506
65-69,persons,2048,3513925.0,3498510,-15415.0,-0.4386832388283757
70-74,persons,2048,3048052.0,2965253,-82799.0,-2.7164562809295902
75-79,persons,2048,3092160.0,2975167,-116993.0,-3.783536427610473
80-84,persons,2048,2693698.0,2583226,-110472.0,-4.101127891842367
85-89,persons,2048,1812561.0,1741839,-70722.0,-3.901772133461991
90-94,persons,2048,855931.0,828403,-27528.0,-3.2161470959691845
95-99,persons,2048,261003.0,251105,-9898.0,-3.792293575169634
0-4,male,2049,1752901.0,1586074,-166827.0,-9.51719463905834
5-9,male,2049,1787320.0,1617562,-169758.0,-9.497907481592552
10-14,male,2049,1752751.0,1619826,-132925.0,-7.583792563803986
15-19,male,2049,1738689.0,1662526,-76163.0,-4.3804843764468515
20-24,male,2049,1817073.0,1838617,21544.0,1.1856430644228382
25-29,male,2049,1888974.0,1989499,100525.0,5.321671976427416
30-34,male,2049,2003203.0,2227834,224631.0,11.21359143331954
35-39,male,2049,2072954.0,2369604,296649.99999999977,14.310496036091475
40-44,male,2049,1937162.0,2345424,408262.0,21.075263710520854
45-49,male,2049,1761320.0,2251042,489722.0,27.804260441032863
50-54,male,2049,1863579.0,2187288,323709.0,17.370285885385055
55-59,male,2049,1916846.0,2083734,166888.0,8.706385385158745
60-64,male,2049,1823598.0,1896141,72543.0,3.97801489143989
65-69,male,2049,1709725.0,1681147,-28578.0,-1.6714968781529191
70-74,male,2049,1480615.0,1420939,-59676.0,-4.0304873312778815
75-79,male,2049,1431905.0,1351565,-80340.0,-5.61070741424885
80-84,male,2049,1236205.0,1157708,-78497.0,-6.3498367989128015
85-89,male,2049,823680.0,763294,-60386.0,-7.331245143745144
90-94,male,2049,367233.0,334098,-33135.0,-9.022881930545458
95-99,male,2049,100755.0,85558,-15197.0,-15.08312242568607
0-4,female,2049,1670707.0,1508068,-162639.0,-9.734741040768968
5-9,female,2049,1704574.0,1535997,-168577.0,-9.88968504740774
10-14,female,2049,1669544.0,1537640,-131904.0,-7.900600403463461
15-19,female,2049,1648218.0,1573153,-75065.0,-4.554312596998698
20-24,female,2049,1712584.0,1735287,22703.0,1.3256576027803602
25-29,female,2049,1784513.0,1890618,106105.0,5.945879912334625
30-34,female,2049,1899209.0,2132798,233589.0,12.299278278483303
35-39,female,2049,1983488.0,2271359,287871.0,14.5133724025555
40-44,female,2049,1868031.0,2248659,380628.0,20.37589311954673
45-49,female,2049,1708198.0,2199579,491381.0,28.76604468568632
50-54,female,2049,1818407.0,2227250,408843.0,22.4835804085664
55-59,female,2049,1915102.0,2205785,290683.0,15.178460468424138
60-64,female,2049,1900705.0,2069701,168996.0,8.891227202538007
65-69,female,2049,1826384.0,1854972,28588.0,1.5652787146624147
70-74,female,2049,1594973.0,1579061,-15912.0,-0.9976344427147044
75-79,female,2049,1603713.0,1565869,-37844.0,-2.3597738498097853
80-84,female,2049,1464498.0,1433389,-31109.0,-2.1242091146590845
85-89,female,2049,1052917.0,1036948,-15969.0,-1.516643762043922
90-94,female,2049,522086.0,526914,4828.0,0.9247518608045416
95-99,female,2049,166229.0,170128,3899.0,2.3455594390870425
0-4,persons,2049,3423608.0,3094142,-329466.0,-9.623356412299538
5-9,persons,2049,3491894.0,3153559,-338335.0,-9.689154367228788
10-14,persons,2049,3422295.0,3157466,-264829.0,-7.738345174802289
15-19,persons,2049,3386907.0,3235679,-151228.0,-4.465076838543249
20-24,persons,2049,3529657.0,3573904,44247.0,1.2535778972291074
25-29,persons,2049,3673487.0,3880117,206630.0,5.624900809503341
30-34,persons,2049,3902412.0,4360632,458220.0,11.741968813134031
35-39,persons,2049,4056442.0,4640963,584521.0,14.409696970892224
40-44,persons,2049,3805193.0,4594083,788890.0,20.731931336991316
45-49,persons,2049,3469518.0,4450621,981103.0,28.277789594981208
50-54,persons,2049,3681986.0,4414538,732552.0,19.89556722920728
55-59,persons,2049,3831948.0,4289519,457571.0,11.940950138154276
60-64,persons,2049,3724303.0,3965842,241539.0,6.485481981460691
65-69,persons,2049,3536109.0,3536119,10.0,0.0002827967124316
70-74,persons,2049,3075588.0,3000000,-75588.0,-2.457676385783792
75-79,persons,2049,3035618.0,2917434,-118184.0,-3.893243484522756
80-84,persons,2049,2700703.0,2591097,-109606.0,-4.058424787916332
85-89,persons,2049,1876597.0,1800242,-76355.0,-4.068801133114889
90-94,persons,2049,889319.0,861012,-28307.0,-3.1829973271683167
95-99,persons,2049,266984.0,255686,-11298.0,-4.2317142600305635
0-4,male,2050,1748329.0,1581980,-166349.0,-9.514742362564483
5-9,male,2050,1794843.0,1620867,-173976.0,-9.693104076512542
10-14,male,2050,1768956.0,1625489,-143467.0,-8.110263907072872
15-19,male,2050,1748088.0,1665282,-82806.0,-4.736946881392699
20-24,male,2050,1818077.0,1841716,23639.0,1.3002199576805602
25-29,male,2050,1883855.0,1971371,87516.0,4.645580471957767
30-34,male,2050,1977899.0,2211193,233294.0,11.795041101694274
35-39,male,2050,2073836.0,2359387,285551.00000000023,13.769218009524392
40-44,male,2050,1977483.0,2359007,381524.0,19.293414911784325
45-49,male,2050,1768234.0,2271526,503292.0,28.46297492300227
50-54,male,2050,1846655.0,2199658,353003.0,19.1158066883094
