Year,Age,Sex,Population
2025,60-64,female,1869297
2025,65-69,female,1561965
2025,70-74,female,1340348
2025,75-79,female,1319598
2025,80-84,female,891988
2025,85-89,female,568331
2025,90-94,female,267960
2025,95-99,female,73653
2025,0-4,persons,2983956
2025,5-9,persons,3285689
2025,10-14,persons,3500961
2025,15-19,persons,3553545
2025,20-24,persons,3723762
2025,25-29,persons,3958001
2025,30-34,persons,4171729
2025,35-39,persons,4157918
2025,40-44,persons,3892276
2025,45-49,persons,3563089
2025,50-54,persons,3673286
2025,55-59,persons,3848328
2025,60-64,persons,3656923
2025,65-69,persons,3042366
2025,70-74,persons,2558836
2025,75-79,persons,2465097
2025,80-84,persons,1608338
2025,85-89,persons,965089
2025,90-94,persons,420023
2025,95-99,persons,103892
2026,0-4,male,1525269
2026,5-9,male,1656760
2026,10-14,male,1784622
2026,15-19,male,1856888
2026,20-24,male,1949655
2026,25-29,male,2004363
2026,30-34,male,2061022
2026,35-39,male,2056642
2026,40-44,male,1914158
2026,45-49,male,1786175
2026,50-54,male,1758678
2026,55-59,male,1884647
2026,60-64,male,1811829
2026,65-69,male,1525444
2026,70-74,male,1229932
2026,75-79,male,1148554
2026,80-84,male,755202
2026,85-89,male,395697
2026,90-94,male,157909
2026,95-99,male,31812
2026,0-4,female,1449966
2026,5-9,female,1577939
2026,10-14,female,1699924
2026,15-19,female,1760135
2026,20-24,female,1838922
2026,25-29,female,1986919
2026,30-34,female,2127640
2026,35-39,female,2178944
2026,40-44,female,2029974
2026,45-49,female,1866905
2026,50-54,female,1813781
2026,55-59,female,1959975
2026,60-64,female,1902314
2026,65-69,female,1610413
2026,70-74,female,1350151
2026,75-79,female,1325589
2026,80-84,female,936617
2026,85-89,female,565632
2026,90-94,female,274772
2026,95-99,female,74929
2026,0-4,persons,2975235
2026,5-9,persons,3234699
2026,10-14,persons,3484546
2026,15-19,persons,3617023
2026,20-24,persons,3788577
2026,25-29,persons,3991282
2026,30-34,persons,4188662
2026,35-39,persons,4235586
2026,40-44,persons,3944132
2026,45-49,persons,3653080
2026,50-54,persons,3572459
2026,55-59,persons,3844622
2026,60-64,persons,3714143
2026,65-69,persons,3135857
2026,70-74,persons,2580083
2026,75-79,persons,2474143
2026,80-84,persons,1691819
2026,85-89,persons,961329
2026,90-94,persons,432681
2026,95-99,persons,106741
2027,0-4,male,1516061
2027,5-9,male,1640686
2027,10-14,male,1766088
2027,15-19,male,1879158
2027,20-24,male,1978645
2027,25-29,male,2013310
2027,30-34,male,2081655
2027,35-39,male,2091387
2027,40-44,male,1942452
2027,45-49,male,1828551
2027,50-54,male,1715111
2027,55-59,male,1867143
2027,60-64,male,1827837
2027,65-69,male,1571169
2027,70-74,male,1253704
2027,75-79,male,1093416
2027,80-84,male,835507
2027,85-89,male,403290
2027,90-94,male,164813
2027,95-99,male,33379
2027,0-4,female,1440701
2027,5-9,female,1561428
2027,10-14,female,1682201
2027,15-19,female,1783095
2027,20-24,female,1859175
2027,25-29,female,1979200
2027,30-34,female,2134139
2027,35-39,female,2203423
2027,40-44,female,2067644
2027,45-49,female,1919908
2027,50-54,female,1770861
2027,55-59,female,1943947
2027,60-64,female,1920087
2027,65-69,female,1661898
2027,70-74,female,1373273
2027,75-79,female,1265842
2027,80-84,female,1029324
2027,85-89,female,573987
2027,90-94,female,283298
2027,95-99,female,76492
2027,0-4,persons,2956762
2027,5-9,persons,3202114
2027,10-14,persons,3448289
2027,15-19,persons,3662253
2027,20-24,persons,3837820
2027,25-29,persons,3992510
2027,30-34,persons,4215794
2027,35-39,persons,4294810
2027,40-44,persons,4010096
2027,45-49,persons,3748459
2027,50-54,persons,3485972
2027,55-59,persons,3811090
2027,60-64,persons,3747924
2027,65-69,persons,3233067
2027,70-74,persons,2626977
2027,75-79,persons,2359258
2027,80-84,persons,1864831
2027,85-89,persons,977277
2027,90-94,persons,448111
2027,95-99,persons,109871
2028,0-4,male,1519732
2028,5-9,male,1614067
2028,10-14,male,1747391
2028,15-19,male,1877300
2028,20-24,male,2001101
2028,25-29,male,2024043
2028,30-34,male,2099536
2028,35-39,male,2104712
2028,40-44,male,1979584
2028,45-49,male,1865533
2028,50-54,male,1690134
2028,55-59,male,1840689
2028,60-64,male,1832271
2028,65-69,male,1611591
2028,70-74,male,1282546
2028,75-79,male,1068062
2028,80-84,male,878319
2028,85-89,male,420653
2028,90-94,male,172232
2028,95-99,male,34825
2028,0-4,female,1444556
2028,5-9,female,1534654
2028,10-14,female,1665088
2028,15-19,female,1781014
2028,20-24,female,1882354
2028,25-29,female,1968447
2028,30-34,female,2136723
2028,35-39,female,2205640
2028,40-44,female,2110906
2028,45-49,female,1969228
2028,50-54,female,1749020
2028,55-59,female,1915865
2028,60-64,female,1927554
2028,65-69,female,1710489
2028,70-74,female,1402128
2028,75-79,female,1235313
2028,80-84,female,1080947
2028,85-89,female,594584
2028,90-94,female,293383
2028,95-99,female,78014
2028,0-4,persons,2964288
2028,5-9,persons,3148721
2028,10-14,persons,3412479
2028,15-19,persons,3658314
2028,20-24,persons,3883455
2028,25-29,persons,3992490
2028,30-34,persons,4236259
2028,35-39,persons,4310352
2028,40-44,persons,4090490
2028,45-49,persons,3834761
2028,50-54,persons,3439154
2028,55-59,persons,3756554
2028,60-64,persons,3759825
2028,65-69,persons,3322080
2028,70-74,persons,2684674
2028,75-79,persons,2303375
2028,80-84,persons,1959266
2028,85-89,persons,1015237
2028,90-94,persons,465615
2028,95-99,persons,112839
2029,0-4,male,1524237
2029,5-9,male,1589348
2029,10-14,male,1734604
2029,15-19,male,1870415
2029,20-24,male,2010938
2029,25-29,male,2039041
2029,30-34,male,2115927
2029,35-39,male,2123367
2029,40-44,male,2016489
2029,45-49,male,1880229
2029,50-54,male,1702780
2029,55-59,male,1800991
2029,60-64,male,1830392
2029,65-69,male,1651759
2029,70-74,male,1315561
2029,75-79,male,1059293
2029,80-84,male,896130
2029,85-89,male,445567
2029,90-94,male,178632
2029,95-99,male,36343
2029,0-4,female,1449071
2029,5-9,female,1510863
2029,10-14,female,1651294
2029,15-19,female,1775536
2029,20-24,female,1895501
2029,25-29,female,1964849
2029,30-34,female,2134370
2029,35-39,female,2214397
2029,40-44,female,2150107
2029,45-49,female,1992898
2029,50-54,female,1768127
2029,55-59,female,1874318
2029,60-64,female,1927636
2029,65-69,female,1758984
2029,70-74,female,1435218
2029,75-79,female,1225742
2029,80-84,female,1104205
2029,85-89,female,623845
2029,90-94,female,302431
2029,95-99,female,79991
2029,0-4,persons,2973308
2029,5-9,persons,3100211
2029,10-14,persons,3385898
2029,15-19,persons,3645951
2029,20-24,persons,3906439
2029,25-29,persons,4003890
2029,30-34,persons,4250297
2029,35-39,persons,4337764
2029,40-44,persons,4166596
2029,45-49,persons,3873127
2029,50-54,persons,3470907
2029,55-59,persons,3675309
2029,60-64,persons,3758028
2029,65-69,persons,3410743
2029,70-74,persons,2750779
2029,75-79,persons,2285035
2029,80-84,persons,2000335
2029,85-89,persons,1069412
2029,90-94,persons,481063
2029,95-99,persons,116334
2030,0-4,male,1527354
2030,5-9,male,1571089
2030,10-14,male,1717647
2030,15-19,male,1859782
2030,20-24,male,2024336
2030,25-29,male,2059522
2030,30-34,male,2128199
2030,35-39,male,2132505
2030,40-44,male,2047146
2030,45-49,male,1894242
2030,50-54,male,1734216
2030,55-59,male,1766719
2030,60-64,male,1816430
2030,65-69,male,1687919
2030,70-74,male,1356274
2030,75-79,male,1057566
2030,80-84,male,905843
2030,85-89,male,468764
2030,90-94,male,182422
2030,95-99,male,38409
2030,0-4,female,1452157
2030,5-9,female,1492151
2030,10-14,female,1634975
2030,15-19,female,1766121
2030,20-24,female,1913255
2030,25-29,female,1967898
2030,30-34,female,2129384
2030,35-39,female,2211034
2030,40-44,female,2181141
2030,45-49,female,2013198
2030,50-54,female,1809010
2030,55-59,female,1838140
2030,60-64,female,1914624
2030,65-69,female,1804831
2030,70-74,female,1477600
2030,75-79,female,1221295
2030,80-84,female,1120063
2030,85-89,female,652003
2030,90-94,female,307955
2030,95-99,female,83102
2030,0-4,persons,2979511
2030,5-9,persons,3063240
2030,10-14,persons,3352622
2030,15-19,persons,3625903
2030,20-24,persons,3937591
2030,25-29,persons,4027420
2030,30-34,persons,4257583
2030,35-39,persons,4343539
2030,40-44,persons,4228287
2030,45-49,persons,3907440
2030,50-54,persons,3543226
2030,55-59,persons,3604859
2030,60-64,persons,3731054
2030,65-69,persons,3492750
2030,70-74,persons,2833874
2030,75-79,persons,2278861
2030,80-84,persons,2025906
2030,85-89,persons,1120767
2030,90-94,persons,490377
2030,95-99,persons,121511
2031,0-4,male,1529575
2031,5-9,male,1562286
