Age Group,Sex,Year,Population
  0-4,Male,2018,1716.253
  5-9,Male,2018,1803.934
 10-14,Male,2018,1677.771
 15-19,Male,2018,1589.871
 20-24,Male,2018,1805.668
 25-29,Male,2018,1935.98
 30-34,Male,2018,1889.726
 35-39,Male,2018,1845.854
 40-44,Male,2018,1686.506
 45-49,Male,2018,1879.694
 50-54,Male,2018,1931.434
 55-59,Male,2018,1763.37
 60-64,Male,2018,1493.186
 65-69,Male,2018,1366.142
 70-74,Male,2018,1304.718
 75-79,Male,2018,861.788
 80-84,Male,2018,616.872
 85-89,Male,2018,341.387
 90-94,Male,2018,129.124
 95-99,Male,2018,26.737
 100 & over,Male,2018,1.927
  0-4,Female,2018,1630.474
  5-9,Female,2018,1719.932
 10-14,Female,2018,1596.348
 15-19,Female,2018,1506.704
 20-24,Female,2018,1706.986
 25-29,Female,2018,1879.944
 30-34,Female,2018,1897.871
 35-39,Female,2018,1871.629
 40-44,Female,2018,1704.078
 45-49,Female,2018,1919.548
 50-54,Female,2018,1984.017
 55-59,Female,2018,1809.959
 60-64,Female,2018,1551.188
 65-69,Female,2018,1456.451
 70-74,Female,2018,1420.082
 75-79,Female,2018,1001.338
 80-84,Female,2018,786.884
 85-89,Female,2018,524.315
 90-94,Female,2018,252.952
 95-99,Female,2018,79.122
 100 & over,Female,2018,9.414
  0-4,Persons,2018,3346.727
  5-9,Persons,2018,3523.866
 10-14,Persons,2018,3274.119
 15-19,Persons,2018,3096.575
 20-24,Persons,2018,3512.654
 25-29,Persons,2018,3815.924
 30-34,Persons,2018,3787.597
 35-39,Persons,2018,3717.483
 40-44,Persons,2018,3390.584
 45-49,Persons,2018,3799.242
 50-54,Persons,2018,3915.451
 55-59,Persons,2018,3573.329
 60-64,Persons,2018,3044.374
 65-69,Persons,2018,2822.593
 70-74,Persons,2018,2724.8
 75-79,Persons,2018,1863.126
 80-84,Persons,2018,1403.756
 85-89,Persons,2018,865.702
 90-94,Persons,2018,382.076
 95-99,Persons,2018,105.859
 100 & over,Persons,2018,11.341
  0-4,Male,2019,1691.0
  5-9,Male,2019,1813.827
 10-14,Male,2019,1720.739
 15-19,Male,2019,1586.96
 20-24,Male,2019,1794.185
 25-29,Male,2019,1940.818
 30-34,Male,2019,1908.854
 35-39,Male,2019,1855.64
 40-44,Male,2019,1700.317
 45-49,Male,2019,1841.995
 50-54,Male,2019,1927.846
 55-59,Male,2019,1811.331
 60-64,Male,2019,1529.235
 65-69,Male,2019,1354.503
 70-74,Male,2019,1330.533
 75-79,Male,2019,901.263
 80-84,Male,2019,635.376
 85-89,Male,2019,350.409
 90-94,Male,2019,133.883
 95-99,Male,2019,28.629
 100 & over,Male,2019,1.937
  0-4,Female,2019,1607.341
  5-9,Female,2019,1728.416
 10-14,Female,2019,1637.137
 15-19,Female,2019,1502.982
 20-24,Female,2019,1693.79
 25-29,Female,2019,1872.251
 30-34,Female,2019,1909.329
 35-39,Female,2019,1886.19
 40-44,Female,2019,1716.923
 45-49,Female,2019,1878.44
 50-54,Female,2019,1981.716
 55-59,Female,2019,1862.989
 60-64,Female,2019,1587.226
 65-69,Female,2019,1445.992
 70-74,Female,2019,1450.374
 75-79,Female,2019,1040.628
 80-84,Female,2019,805.241
 85-89,Female,2019,528.667
 90-94,Female,2019,257.209
 95-99,Female,2019,81.692
 100 & over,Female,2019,9.259
  0-4,Persons,2019,3298.341
